departing	international	destination	date	price
OAK	no	Amarillo, TX	8/03	205
OAK	no	Bellingham (approx. 50mi from Vancouver, BC), WA	7/10	64
OAK	no	Birmingham, AL	11/01	227
OAK	no	Boise, ID	9/13	89
OAK	no	Boston (Logan), MA	11/08	218
OAK	no	Bozeman/Yellowstone, MT	11/08	114
OAK	no	Burbank, CA	7/12	59
OAK	yes	Cancun, Mexico	9/06	241
OAK	no	Charleston, SC	12/02	203
OAK	no	Charlotte, NC	10/29	227
OAK	no	Chicago (Midway), IL	9/20	178
OAK	no	Chicago (O’Hare), IL	9/13	188
OAK	no	Cincinnati, OH	11/16	199
OAK	no	Cleveland, OH	12/09	217
OAK	no	Colorado Springs, CO	8/02	98
OAK	no	Corpus Christi, TX	8/14	227
OAK	no	Dallas (Love Field), TX	9/08	104
OAK	no	Denver, CO	7/12	126
OAK	no	Des Moines, IA	9/07	194
OAK	no	Destin/Fort Walton Beach, FL	8/29	219
OAK	no	Detroit, MI	11/08	227
OAK	no	Eugene, OR	7/04	84
OAK	no	Grand Rapids, MI	10/29	227
OAK	no	Harlingen, TX	9/14	227
OAK	no	Hartford, CT	12/05	221
OAK	no	Hilo (Hawaii Island), HI	8/28	209
OAK	no	Honolulu (Oahu), HI	8/29	163
OAK	no	Houston (Bush-Intercontl), TX	12/01	168
OAK	no	Houston (Hobby), TX	8/24	149
OAK	no	Jackson, MS	9/14	213
OAK	no	Jacksonville, FL	11/01	198
OAK	no	Kahului (Maui), HI	8/09	159
OAK	no	Kansas City, MO	10/31	195
OAK	no	Kona (Hawaii Island), HI	8/29	159
OAK	no	Las Vegas, NV	7/11	49
OAK	no	Lihue (Kauai), HI	8/02	179
OAK	no	Long Beach, CA	7/12	59
OAK	no	Los Angeles, CA	7/03	49
OAK	yes	Los Cabos, MX	8/14	202
OAK	no	Louisville, KY	11/09	232
OAK	no	Memphis, TN	10/19	232
OAK	no	Miami, FL	8/29	193
OAK	no	Midland/Odessa, TX	8/10	205
OAK	no	Milwaukee, WI	10/26	232
OAK	no	Montrose (Telluride/Crested Butte), CO	8/28	169
OAK	no	Myrtle Beach, SC	11/06	209
OAK	no	Nashville, TN	8/20	191
OAK	no	New Orleans, LA	9/20	209
OAK	no	Norfolk, VA	11/06	227
OAK	no	Oklahoma City, OK	11/09	173
OAK	no	Omaha, NE	9/13	198
OAK	no	Ontario/LA, CA	7/12	69
OAK	no	Orange County/Santa Ana, CA	7/12	74
OAK	no	Palm Springs, CA	7/10	79
OAK	no	Panama City Beach, FL	11/30	233
OAK	no	Pensacola, FL	8/23	233
OAK	no	Philadelphia, PA	11/08	228
OAK	no	Phoenix, AZ	8/17	79
OAK	no	Portland, OR	8/13	79
OAK	no	Providence, RI	11/08	204
OAK	yes	Puerto Vallarta, MX	8/07	159
OAK	no	Raleigh/Durham, NC	11/09	228
OAK	no	Richmond, VA	11/08	149
